s,ElementName,ElementOccurence,ElementType,s1,s12,s13,s14,s15,s16,s17,s2,s23,s24,s25,s26,s27,s3,s34,s35,s36,s37,s4,s45,s46,s47,s5,s56,s57,s6,s67,s7,ma1,ma2,ma3,ma4,ma5,ma6,ma7,minimum1,minimum2,minimum3,minimum4,minimum5,minimum6,minimum7,maximum1,maximum2,maximum3,maximum4,maximum5,maximum6,maximum7,Sx,Sxp,Sy,Syp,Ss,Sdelta,St,ex,enx,ecx,ecnx,ey,eny,ecy,ecny,betaxBeam,alphaxBeam,betayBeam,alphayBeam
0.0000000000000000e+00,     _BEG_,     1,      MARK,1.8458554369050262e-03,4.4793032614786964e-07,-3.4984823264176193e-09,8.4292953800003515e-09,-1.7944248151310677e-09,-4.4112933240003409e-09,-nan,9.2561089900104212e-04,2.9389334141666841e-07,2.1075808795852579e-07,6.5451248616532176e-10,1.9586289855334039e-09,-nan,3.3914683568502842e-04,7.9803856312413662e-08,7.8524133265103363e-10,1.1016381212792460e-09,-nan,2.3905554185978521e-04,3.7235810904566069e-10,7.6550174021830216e-10,-nan,6.0003244918395307e-04,-1.0622481511446690e-07,-nan,1.8513005540259312e-03,-nan,-nan,4.9556359881570604e-03,1.9216899911392740e-03,1.0233430608351851e-03,6.3738297610217481e-04,1.3254132838778081e-03,1.0000000000000000e+00,0.0000000000000000e+00,-4.9556359881570604e-03,-1.9216899911392740e-03,-1.0233430608351851e-03,-6.3738297610217481e-04,-1.3254132838778081e-03,-1.0000000000000000e+00,1.7976931348623157e+308,4.9322730746073429e-03,1.9193090083999549e-03,1.0146370325213670e-03,6.3500056698681420e-04,1.2266344072210131e-03,1.0036696116299525e-02,-1.7976931348623157e+308,1.8458554369050262e-03,9.2561089900104212e-04,3.3914683568502842e-04,2.3905554185978521e-04,6.0003244918395307e-04,1.8513005540259312e-03,-nan,1.6487815854783055e-06,1.8870075360771779e-04,1.6487782689115236e-06,1.8870037403127379e-04,1.4299961026613117e-08,1.6366106014582211e-06,1.4299939013326807e-08,1.6366080820682954e-06,2.0664856399571248e+00,-2.7167561311545940e-01,8.0434064753356811e+00,-5.5806958465739775e+00
0.0000000000000000e+00,        W1,     1,     WATCH,1.8458554369050262e-03,4.4793032614786964e-07,-3.4984823264176193e-09,8.4292953800003515e-09,-1.7944248151310677e-09,-4.4112933240003409e-09,-nan,9.2561089900104212e-04,2.9389334141666841e-07,2.1075808795852579e-07,6.5451248616532176e-10,1.9586289855334039e-09,-nan,3.3914683568502842e-04,7.9803856312413662e-08,7.8524133265103363e-10,1.1016381212792460e-09,-nan,2.3905554185978521e-04,3.7235810904566069e-10,7.6550174021830216e-10,-nan,6.0003244918395307e-04,-1.0622481511446690e-07,-nan,1.8513005540259312e-03,-nan,-nan,4.9556359881570604e-03,1.9216899911392740e-03,1.0233430608351851e-03,6.3738297610217481e-04,1.3254132838778081e-03,1.0000000000000000e+00,0.0000000000000000e+00,-4.9556359881570604e-03,-1.9216899911392740e-03,-1.0233430608351851e-03,-6.3738297610217481e-04,-1.3254132838778081e-03,-1.0000000000000000e+00,1.7976931348623157e+308,4.9322730746073429e-03,1.9193090083999549e-03,1.0146370325213670e-03,6.3500056698681420e-04,1.2266344072210131e-03,1.0036696116299525e-02,-1.7976931348623157e+308,1.8458554369050262e-03,9.2561089900104212e-04,3.3914683568502842e-04,2.3905554185978521e-04,6.0003244918395307e-04,1.8513005540259312e-03,-nan,1.6487815854783055e-06,1.8870075360771779e-04,1.6487782689115236e-06,1.8870037403127379e-04,1.4299961026613117e-08,1.6366106014582211e-06,1.4299939013326807e-08,1.6366080820682954e-06,2.0664856399571248e+00,-2.7167561311545940e-01,8.0434064753356811e+00,-5.5806958465739775e+00
1.0820000000000001e-02,        D1,     1,      DRIF,1.8485063723548642e-03,4.5720042105117141e-07,-2.0267744110094685e-10,1.0709697891711600e-08,-1.7873669014950568e-09,-4.3901009583768670e-09,-nan,9.2561089900104212e-04,2.9617374392837962e-07,2.1075808795852579e-07,6.5448230713169255e-10,1.9586289855334039e-09,-nan,3.4169316938862862e-04,8.0422192826069397e-08,7.8925933527293730e-10,1.1099208501084081e-09,-nan,2.3905554185978521e-04,3.7235060047301940e-10,7.6550174021830216e-10,-nan,6.0003288554068268e-04,-1.0622474675612780e-07,-nan,1.8513005540259312e-03,-nan,-nan,4.9692991449969146e-03,1.9216899911392740e-03,1.0294440762912821e-03,6.3738297610217481e-04,1.3254176947781037e-03,1.0000000000000000e+00,0.0000000000000000e+00,-4.9692991449969146e-03,-1.9216899911392740e-03,-1.0294440762912821e-03,-6.3738297610217481e-04,-1.3254176947781037e-03,-1.0000000000000000e+00,1.7976931348623157e+308,4.9450285022517087e-03,1.9193090083999549e-03,1.0208791891129344e-03,6.3500056698681420e-04,1.2266297384465000e-03,1.0036696116299525e-02,-1.7976931348623157e+308,1.8485063723548642e-03,9.2561089900104212e-04,3.4169316938862862e-04,2.3905554185978521e-04,6.0003288554068268e-04,1.8513005540259312e-03,-nan,1.6487815854783057e-06,1.8870075360771782e-04,1.6487782689115239e-06,1.8870037403127381e-04,1.4299961026613117e-08,1.6366106014582211e-06,1.4299939013326807e-08,1.6366080820682954e-06,2.0724255345394806e+00,-2.7729800817436828e-01,8.1646405942663325e+00,-5.6239362172570200e+00
2.1640000000000003e-02,        D1,     2,      DRIF,1.8512076944997122e-03,4.6647051595447318e-07,3.1424753545691561e-09,1.2990100403422850e-08,-1.7803096409333284e-09,-4.3689085927533973e-09,-nan,9.2561089900104212e-04,2.9845414644009088e-07,2.1075808795852579e-07,6.5445212809806426e-10,1.9586289855334039e-09,-nan,3.4424010321384686e-04,8.1040529339725132e-08,7.9327717540932961e-10,1.1182035789375702e-09,-nan,2.3905554185978521e-04,3.7234309190037853e-10,7.6550174021830216e-10,-nan,6.0003332193840858e-04,-1.0622467839778869e-07,-nan,1.8513005540259312e-03,-nan,-nan,4.9829623018367688e-03,1.9216899911392740e-03,1.0355450917473791e-03,6.3738297610217481e-04,1.3254221056783963e-03,1.0000000000000000e+00,0.0000000000000000e+00,-4.9829623018367688e-03,-1.9216899911392740e-03,-1.0355450917473791e-03,-6.3738297610217481e-04,-1.3254221056783963e-03,-1.0000000000000000e+00,1.7976931348623157e+308,4.9577839298960745e-03,1.9193090083999549e-03,1.0271213457045019e-03,6.3500056698681420e-04,1.2266250696719889e-03,1.0036696116299525e-02,-1.7976931348623157e+308,1.8512076944997122e-03,9.2561089900104212e-04,3.4424010321384686e-04,2.3905554185978521e-04,6.0003332193840858e-04,1.8513005540259312e-03,-nan,1.6487815854783055e-06,1.8870075360771779e-04,1.6487782689115236e-06,1.8870037403127379e-04,1.4299961026613088e-08,1.6366106014582179e-06,1.4299939013326781e-08,1.6366080820682923e-06,2.0784870977509113e+00,-2.8292040323327722e-01,8.2868104348185803e+00,-5.6671765879400722e+00
3.2460000000000003e-02,        D1,     3,      DRIF,1.8539591830908923e-03,4.7574061085777490e-07,6.5369760605926912e-09,1.5270502915134100e-08,-1.7732530334458983e-09,-4.3477162271299243e-09,-nan,9.2561089900104212e-04,3.0073454895180214e-07,2.1075808795852579e-07,6.5442194906443567e-10,1.9586289855334039e-09,-nan,3.4678762393815227e-04,8.1658865853380867e-08,7.9729485306021128e-10,1.1264863077667321e-09,-nan,2.3905554185978521e-04,3.7233558332773772e-10,7.6550174021830216e-10,-nan,6.0003375837713066e-04,-1.0622461003944959e-07,-nan,1.8513005540259312e-03,-nan,-nan,4.9966254586766229e-03,1.9216899911392740e-03,1.0416461072034762e-03,6.3738297610217481e-04,1.3254265165786906e-03,1.0000000000000000e+00,0.0000000000000000e+00,-4.9966254586766229e-03,-1.9216899911392740e-03,-1.0416461072034762e-03,-6.3738297610217481e-04,-1.3254265165786906e-03,-1.0000000000000000e+00,1.7976931348623157e+308,4.9705393575404403e-03,1.9193090083999549e-03,1.0333635022960694e-03,6.3500056698681420e-04,1.2266204008974727e-03,1.0036696116299525e-02,-1.7976931348623157e+308,1.8539591830908923e-03,9.2561089900104212e-04,3.4678762393815227e-04,2.3905554185978521e-04,6.0003375837713066e-04,1.8513005540259312e-03,-nan,1.6487815854783055e-06,1.8870075360771779e-04,1.6487782689115236e-06,1.8870037403127379e-04,1.4299961026613034e-08,1.6366106014582115e-06,1.4299939013326724e-08,1.6366080820682859e-06,2.0846703295914168e+00,-2.8854279829218610e-01,8.4099159969924262e+00,-5.7104169586231368e+00
4.3280000000000006e-02,        D1,     4,      DRIF,1.8567606151070914e-03,4.8501070576107677e-07,9.9808246769696578e-09,1.7550905426845348e-08,-1.7661970790327481e-09,-4.3265238615064538e-09,-nan,9.2561089900104212e-04,3.0301495146351339e-07,2.1075808795852579e-07,6.5439177003080594e-10,1.9586289855334039e-09,-nan,3.4933571872171082e-04,8.2277202367036589e-08,8.0131236822557920e-10,1.1347690365958942e-09,-nan,2.3905554185978521e-04,3.7232807475509659e-10,7.6550174021830216e-10,-nan,6.0003419485684902e-04,-1.0622454168111050e-07,-nan,1.8513005540259312e-03,-nan,-nan,5.0102886155164771e-03,1.9216899911392740e-03,1.0477471226595732e-03,6.3738297610217481e-04,1.3254309274789849e-03,1.0000000000000000e+00,0.0000000000000000e+00,-5.0102886155164771e-03,-1.9216899911392740e-03,-1.0477471226595732e-03,-6.3738297610217481e-04,-1.3254309274789849e-03,-1.0000000000000000e+00,1.7976931348623157e+308,4.9832947851848062e-03,1.9193090083999549e-03,1.0396056588876368e-03,6.3500056698681420e-04,1.2266157321229598e-03,1.0036696116299525e-02,-1.7976931348623157e+308,1.8567606151070914e-03,9.2561089900104212e-04,3.4933571872171082e-04,2.3905554185978521e-04,6.0003419485684902e-04,1.8513005540259312e-03,-nan,1.6487815854783055e-06,1.8870075360771779e-04,1.6487782689115236e-06,1.8870037403127379e-04,1.4299961026613143e-08,1.6366106014582240e-06,1.4299939013326835e-08,1.6366080820682986e-06,2.0909752300609972e+00,-2.9416519335109503e-01,8.5339572807877548e+00,-5.7536573293061331e+00
5.4100000000000009e-02,        D1,     5,      DRIF,1.8596117648349043e-03,4.9428080066437854e-07,1.3474021203700057e-08,1.9831307938556600e-08,-1.7591417776938859e-09,-4.3053314958829841e-09,-nan,9.2561089900104212e-04,3.0529535397522465e-07,2.1075808795852579e-07,6.5436159099717631e-10,1.9586289855334039e-09,-nan,3.5188437509374394e-04,8.2895538880692324e-08,8.0532972090543515e-10,1.1430517654250561e-09,-nan,2.3905554185978521e-04,3.7232056618245551e-10,7.6550174021830216e-10,-nan,6.0003463137756334e-04,-1.0622447332277141e-07,-nan,1.8513005540259312e-03,-nan,-nan,5.0239517723563313e-03,1.9216899911392740e-03,1.0538481381156702e-03,6.3738297610217481e-04,1.3254353383792827e-03,1.0000000000000000e+00,0.0000000000000000e+00,-5.0239517723563313e-03,-1.9216899911392740e-03,-1.0538481381156702e-03,-6.3738297610217481e-04,-1.3254353383792827e-03,-1.0000000000000000e+00,1.7976931348623157e+308,4.9960502128291720e-03,1.9193090083999549e-03,1.0458478154792043e-03,6.3500056698681420e-04,1.2266110633484401e-03,1.0036696116299525e-02,-1.7976931348623157e+308,1.8596117648349043e-03,9.2561089900104212e-04,3.5188437509374394e-04,2.3905554185978521e-04,6.0003463137756334e-04,1.8513005540259312e-03,-nan,1.6487815854783055e-06,1.8870075360771779e-04,1.6487782689115236e-06,1.8870037403127379e-04,1.4299961026613117e-08,1.6366106014582211e-06,1.4299939013326807e-08,1.6366080820682954e-06,2.0974017991596523e+00,-2.9978758841000397e-01,8.6589342862047491e+00,-5.7968976999891870e+00
6.4920000000000005e-02,        D1,     6,      DRIF,1.8625124039494661e-03,5.0355089556768031e-07,1.7016565640783885e-08,2.2111710450267849e-08,-1.7520871294292800e-09,-4.2841391302595127e-09,-nan,9.2561089900104212e-04,3.0757575648693586e-07,2.1075808795852579e-07,6.5433141196356271e-10,1.9586289855334039e-09,-nan,3.5443358093946269e-04,8.3513875394348059e-08,8.0934691109978604e-10,1.1513344942542182e-09,-nan,2.3905554185978521e-04,3.7231305760981800e-10,7.6550174021830216e-10,-nan,6.0003506793927363e-04,-1.0622440496443229e-07,-nan,1.8513005540259312e-03,-nan,-nan,5.0376149291961854e-03,1.9216899911392740e-03,1.0599491535717672e-03,6.3738297610217481e-04,1.3254397492795805e-03,1.0000000000000000e+00,0.0000000000000000e+00,-5.0376149291961854e-03,-1.9216899911392740e-03,-1.0599491535717672e-03,-6.3738297610217481e-04,-1.3254397492795805e-03,-1.0000000000000000e+00,1.7976931348623157e+308,5.0088056404735378e-03,1.9193090083999549e-03,1.0520899720707717e-03,6.3500056698681420e-04,1.2266063945739342e-03,1.0036696116299525e-02,-1.7976931348623157e+308,1.8625124039494661e-03,9.2561089900104212e-04,3.5443358093946269e-04,2.3905554185978521e-04,6.0003506793927363e-04,1.8513005540259312e-03,-nan,1.6487815854783057e-06,1.8870075360771782e-04,1.6487782689115239e-06,1.8870037403127381e-04,1.4299961026613117e-08,1.6366106014582211e-06,1.4299939013326807e-08,1.6366080820682954e-06,2.1039500368873818e+00,-3.0540998346891285e-01,8.7848470132433061e+00,-5.8401380706722286e+00
7.5740000000000002e-02,        D1,     7,      DRIF,1.8654623015951187e-03,5.1282099047098208e-07,2.0608457988221145e-08,2.4392112961979097e-08,-1.7450331342389816e-09,-4.2629467646360381e-09,-nan,9.2561089900104212e-04,3.0985615899864717e-07,2.1075808795852579e-07,6.5430123292993753e-10,1.9586289855334039e-09,-nan,3.5698332448754811e-04,8.4132211908003795e-08,8.1336393880861998e-10,1.1596172230833800e-09,-nan,2.3905554185978521e-04,3.7230554903717811e-10,7.6550174021830216e-10,-nan,6.0003550454197977e-04,-1.0622433660609321e-07,-nan,1.8513005540259312e-03,-nan,-nan,5.0512780860360396e-03,1.9216899911392740e-03,1.0660501690278642e-03,6.3738297610217481e-04,1.3254441601798922e-03,1.0000000000000000e+00,0.0000000000000000e+00,-5.0512780860360396e-03,-1.9216899911392740e-03,-1.0660501690278642e-03,-6.3738297610217481e-04,-1.3254441601798922e-03,-1.0000000000000000e+00,1.7976931348623157e+308,5.0215610681179036e-03,1.9193090083999549e-03,1.0583321286623392e-03,6.3500056698681420e-04,1.2266017257994144e-03,1.0036696116299525e-02,-1.7976931348623157e+308,1.8654623015951187e-03,9.2561089900104212e-04,3.5698332448754811e-04,2.3905554185978521e-04,6.0003550454197977e-04,1.8513005540259312e-03,-nan,1.6487815854783055e-06,1.8870075360771779e-04,1.6487782689115236e-06,1.8870037403127379e-04,1.4299961026613060e-08,1.6366106014582147e-06,1.4299939013326753e-08,1.6366080820682891e-06,2.1106199432441870e+00,-3.1103237852782178e-01,8.9116954619034754e+00,-5.8833784413552932e+00
8.6559999999999998e-02,        D1,     8,      DRIF,1.8684612244660585e-03,5.2209108537428385e-07,2.4249698246011837e-08,2.6672515473690349e-08,-1.7379797921229714e-09,-4.2417543990125659e-09,-nan,9.2561089900104212e-04,3.1213656151035837e-07,2.1075808795852579e-07,6.5427105389631225e-10,1.9586289855334039e-09,-nan,3.5953359429815321e-04,8.4750548421659530e-08,8.1738080403194235e-10,1.1678999519125421e-09,-nan,2.3905554185978521e-04,3.7229804046453812e-10,7.6550174021830216e-10,-nan,6.0003594118568186e-04,-1.0622426824775411e-07,-nan,1.8513005540259312e-03,-nan,-nan,5.0649412428758938e-03,1.9216899911392740e-03,1.0721511844839612e-03,6.3738297610217481e-04,1.3254485710801761e-03,1.0000000000000000e+00,0.0000000000000000e+00,-5.0649412428758938e-03,-1.9216899911392740e-03,-1.0721511844839612e-03,-6.3738297610217481e-04,-1.3254485710801761e-03,-1.0000000000000000e+00,1.7976931348623157e+308,5.0343164957622694e-03,1.9193090083999549e-03,1.0645742852539066e-03,6.3500056698681420e-04,1.2265970570249224e-03,1.0036696116299525e-02,-1.7976931348623157e+308,1.8684612244660585e-03,9.2561089900104212e-04,3.5953359429815321e-04,2.3905554185978521e-04,6.0003594118568186e-04,1.8513005540259312e-03,-nan,1.6487815854783055e-06,1.8870075360771779e-04,1.6487782689115236e-06,1.8870037403127379e-04,1.4299961026613060e-08,1.6366106014582147e-06,1.4299939013326753e-08,1.6366080820682891e-06,2.1174115182300657e+00,-3.1665477358673072e-01,9.0394796321851949e+00,-5.9266188120383356e+00
