s,ElementName,ElementOccurence,ElementType,s1,s12,s13,s14,s15,s16,s17,s2,s23,s24,s25,s26,s27,s3,s34,s35,s36,s37,s4,s45,s46,s47,s5,s56,s57,s6,s67,s7,ma1,ma2,ma3,ma4,ma5,ma6,ma7,minimum1,minimum2,minimum3,minimum4,minimum5,minimum6,minimum7,maximum1,maximum2,maximum3,maximum4,maximum5,maximum6,maximum7,Sx,Sxp,Sy,Syp,Ss,Sdelta,St,ex,enx,ecx,ecnx,ey,eny,ecy,ecny,betaxBeam,alphaxBeam,betayBeam,alphayBeam
0.0000000000000000e+00,     _BEG_,     1,      MARK,1.2394244018466767e-04,3.6541500857622520e-12,2.3168889455951125e-11,-1.7049605354078385e-10,-2.4621931380318053e-09,3.8158834273806230e-23,-8.2133112539591931e-18,1.3413614208739131e-02,9.9468706317649612e-10,7.0185830021192737e-07,-1.6529046170153685e-07,9.0169198334062040e-21,-5.5137102036727859e-16,1.0128546890047658e-05,5.7402685003540849e-15,1.5591196593434767e-12,-1.7073421433400767e-23,5.2009018241095265e-21,1.4265549461343762e-03,-4.9551898604552996e-09,-1.9594095531478509e-21,-1.6529377113964274e-17,1.0999999999999992e-03,1.0600617334887570e-22,4.0362821916490433e-15,5.7000000000000063e-04,5.0940326055439823e-25,3.6693474469536821e-12,3.7874490180524640e-04,4.0662903423356794e-02,2.9860407643711059e-05,4.3000377557793944e-03,3.3927956582672988e-03,1.7045142921995899e-03,1.1317587822803868e-11,-3.7874490180524640e-04,-4.0662903423356794e-02,-2.9860407643711059e-05,-4.2891358624899930e-03,-3.3927956582672988e-03,-1.7045142921995899e-03,-1.1317587822803868e-11,3.6637807069467407e-04,4.0254904358731268e-02,2.9741560917925760e-05,4.3000377557793944e-03,3.3801555637235879e-03,1.6646023185919589e-03,1.1275422410543757e-11,1.2394244018466767e-04,1.3413614208739131e-02,1.0128546890047658e-05,1.4265549461343762e-03,1.0999999999999992e-03,5.7000000000000063e-04,3.6693474469536821e-12,1.6625160767228425e-06,1.8870080201306998e-04,1.6625160767228425e-06,1.8870080201306998e-04,1.4448928663150298e-08,1.6399988337800804e-06,1.4448928663150298e-08,1.6399988337800804e-06,9.2400480777371004e-03,-2.1979637592229034e-06,7.1000047474472716e-03,-3.9727986995975209e-07
3.0000000033428859e-03,       D11,     1,      DRIF,1.3031145698942697e-04,5.3977879317421959e-07,3.1958187203598170e-11,1.9350788494412303e-09,-2.9570652451570764e-09,6.5181832269178578e-23,-9.8640909531705661e-18,1.3413614208739131e-02,3.1002619661585096e-09,7.0185830021192737e-07,-1.6521909366165239e-07,9.0169198334062040e-21,-5.5113295290399293e-16,1.0995591285391933e-05,6.1051827900928283e-09,-1.3329525103167046e-11,-2.2955875000540997e-23,-4.4464203066394193e-20,1.4265549461343762e-03,-4.9580386749158145e-09,-1.9594095531478509e-21,-1.6538880099950206e-17,1.1000057581082390e-03,-4.1135863968497986e-13,4.0363244487586115e-15,5.7000000000000063e-04,-1.6240767868268574e-21,3.6693666546802540e-12,4.4469544533637080e-04,4.0662903423356794e-02,3.8756669811459728e-05,4.3000377557793944e-03,3.3929218104253095e-03,1.7045142921995899e-03,1.1318008228675481e-11,-4.4469544533637080e-04,-4.0662903423356794e-02,-3.4120670616533759e-05,-4.2891358624899930e-03,-3.3929218104253095e-03,-1.7045142921995899e-03,-1.1318008228675481e-11,4.0423851781511329e-04,4.0254904358731268e-02,3.8756669811459728e-05,4.3000377557793944e-03,3.3798862878138256e-03,1.6646023185919589e-03,1.1274523727134397e-11,1.3031145698942697e-04,1.3413614208739131e-02,1.0995591285391933e-05,1.4265549461343762e-03,1.1000057581082390e-03,5.7000000000000063e-04,3.6693666546802540e-12,1.6625160767228425e-06,1.8870080201306998e-04,1.6625160767228425e-06,1.8870080201306998e-04,1.4448928663150298e-08,1.6399988337800804e-06,1.4448928663150298e-08,1.6399988337800804e-06,1.0214082173677641e-02,-3.2467583365463354e-01,8.3676119201647817e-03,-4.2253532648847031e-01
6.0000000066857719e-03,       D11,     2,      DRIF,1.4778049263768962e-04,1.0795539321983533e-06,5.3380934383214706e-11,4.0406537524232447e-09,-3.4515091440425637e-09,9.2292180537236529e-23,-1.1513442247600631e-17,1.3413614208739131e-02,5.2058368691405240e-09,7.0185830021192737e-07,-1.6514772562176800e-07,9.0169198334062040e-21,-5.5089488544070718e-16,1.3260831635559051e-05,1.2210359839917156e-08,-2.8235262752459930e-11,-2.8818021283643049e-23,-9.4186325872877856e-20,1.4265549461343762e-03,-4.9608874893763435e-09,-1.9594095531478509e-21,-1.6548383085936200e-17,1.1000116386394069e-03,-8.2271727948195869e-13,4.0363676045239999e-15,5.7000000000000063e-04,-3.2486629769406172e-21,3.6693862707822471e-12,5.3387491838004914e-04,4.0662903423356794e-02,4.7771778704993696e-05,4.3000377557793944e-03,3.3930479625833201e-03,1.7045142921995899e-03,1.1318428634547094e-11,-5.3387491838004914e-04,-4.0662903423356794e-02,-4.2844911889146745e-05,-4.2891358624899930e-03,-3.3930479625833201e-03,-1.7045142921995899e-03,-1.1318428634547094e-11,4.6914985037579911e-04,4.0254904358731268e-02,4.7771778704993696e-05,4.3000377557793944e-03,3.3796170119040651e-03,1.6646023185919589e-03,1.1273625043725051e-11,1.4778049263768962e-04,1.3413614208739131e-02,1.3260831635559051e-05,1.4265549461343762e-03,1.1000116386394069e-03,5.7000000000000063e-04,3.6693862707822471e-12,1.6625160767228425e-06,1.8870080201306998e-04,1.6625160767228425e-06,1.8870080201306998e-04,1.4448928663150298e-08,1.6399988337800804e-06,1.4448928663150298e-08,1.6399988337800804e-06,1.3136158085934119e-02,-6.4934946934550775e-01,1.2170428670958865e-02,-8.4507025569707073e-01
9.0000000100286578e-03,       D11,     3,      DRIF,1.7301942961275423e-04,1.6193290712224872e-06,8.7437130994800720e-11,6.1462286554052599e-09,-3.9455248346882658e-09,1.1955340654902416e-22,-1.3161365137249387e-17,1.3413614208739131e-02,7.3114117721225375e-09,7.0185830021192737e-07,-1.6507635758188338e-07,9.0169198334062040e-21,-5.5065681797742122e-16,1.6353205984077381e-05,1.8315536889741484e-08,-4.3158093288534751e-11,-3.4724463088547316e-23,-1.4396546659534009e-19,1.4265549461343762e-03,-4.9637363038368633e-09,-1.9594095531478509e-21,-1.6557886071922191e-17,1.1000176415915395e-03,-1.2340759192800915e-12,4.0364116589452095e-15,5.7000000000000063e-04,-4.8732491670684579e-21,3.6694062952531127e-12,6.2305439142372747e-04,4.0662903423356794e-02,5.6786887598527664e-05,4.3000377557793944e-03,3.3931741147413307e-03,1.7045142921995899e-03,1.1318849040418705e-11,-6.2305439142372747e-04,-4.0662903423356794e-02,-5.3115600721851951e-05,-4.2891358624899930e-03,-3.3931741147413307e-03,-1.7045142921995899e-03,-1.1318849040418705e-11,5.5809932269361158e-04,4.0254904358731268e-02,5.6786887598527664e-05,4.3000377557793944e-03,3.3793477359943050e-03,1.6646023185919589e-03,1.1272726360315694e-11,1.7301942961275423e-04,1.3413614208739131e-02,1.6353205984077381e-05,1.4265549461343762e-03,1.1000176415915395e-03,5.7000000000000063e-04,3.6694062952531127e-12,1.6625160767228427e-06,1.8870080201307000e-04,1.6625160767228427e-06,1.8870080201307000e-04,1.4448928663150299e-08,1.6399988337800806e-06,1.4448928663150299e-08,1.6399988337800806e-06,1.8006275814506537e-02,-9.7402310503638201e-01,1.8508454999829522e-02,-1.2676051849056709e+00
1.2000000013371544e-02,       D11,     4,      DRIF,2.0315270827769196e-04,2.1591042102466209e-06,1.3412677703835621e-10,8.2518035583872734e-09,-4.4391123170941848e-09,1.4651023009539227e-22,-1.4807859622116836e-17,1.3413614208739131e-02,9.4169866751045535e-09,7.0185830021192737e-07,-1.6500498954199883e-07,9.0169198334062040e-21,-5.5041875051413478e-16,1.9890603273617633e-05,2.4420713939565813e-08,-5.8098016711391648e-11,-4.0590765954227444e-23,-1.9380162523378055e-19,1.4265549461343762e-03,-4.9665851182973849e-09,-1.9594095531478509e-21,-1.6567389057908067e-17,1.1000237669626328e-03,-1.6454345590765303e-12,4.0364566120222378e-15,5.7000000000000063e-04,-6.4978353571574874e-21,3.6694267280861654e-12,7.1223386446740580e-04,4.0662903423356794e-02,6.5801996492061639e-05,4.3000377557793944e-03,3.3933002668993430e-03,1.7045142921995899e-03,1.1319269446290321e-11,-7.1223386446740580e-04,-4.0662903423356794e-02,-6.3386289554557163e-05,-4.2891358624899930e-03,-3.3933002668993430e-03,-1.7045142921995899e-03,-1.1319269446290321e-11,6.5052239551470481e-04,4.0254904358731268e-02,6.5801996492061639e-05,4.3000377557793944e-03,3.3790784600845440e-03,1.6646023185919589e-03,1.1271827676906341e-11,2.0315270827769196e-04,1.3413614208739131e-02,1.9890603273617633e-05,1.4265549461343762e-03,1.1000237669626328e-03,5.7000000000000063e-04,3.6694267280861654e-12,1.6625160767228425e-06,1.8870080201306998e-04,1.6625160767228425e-06,1.8870080201306998e-04,1.4448928663150295e-08,1.6399988337800799e-06,1.4448928663150295e-08,1.6399988337800799e-06,2.4824435359394898e-02,-1.2986967407272563e+00,2.7381690906776762e-02,-1.6901401141142718e+00
1.5000000016714430e-02,       D11,     5,      DRIF,2.3631541121000302e-04,2.6988793492707550e-06,1.9344987251388117e-10,1.0357378461369287e-08,-4.9322715912603170e-09,1.7365366558795234e-22,-1.6452925702202977e-17,1.3413614208739131e-02,1.1522561578086567e-08,7.0185830021192737e-07,-1.6493362150211429e-07,9.0169198334062040e-21,-5.5018068305084843e-16,2.3674372506129842e-05,3.0525890989390138e-08,-7.3055033021030511e-11,-4.6461153024182056e-23,-2.4369480178819964e-19,1.4265549461343762e-03,-4.9694339327578915e-09,-1.9594095531478509e-21,-1.6576892043893944e-17,1.1000300147506416e-03,-2.0567931988580400e-12,4.0365024637550871e-15,5.7000000000000063e-04,-8.1224215472598487e-21,3.6694475692745826e-12,8.0141333751108414e-04,4.0662903423356794e-02,7.6129983738391368e-05,4.3000377557793944e-03,3.3934264190573545e-03,1.7045142921995899e-03,1.1319689852161933e-11,-8.0141333751108414e-04,-4.0662903423356794e-02,-7.4235573532487327e-05,-4.2891358624899930e-03,-3.3934264190573545e-03,-1.7045142921995899e-03,-1.1319689852161933e-11,7.6846214752263921e-04,4.0254904358731268e-02,7.6129983738391368e-05,4.3000377557793944e-03,3.3788091841747796e-03,1.6646023185919589e-03,1.1270928993496974e-11,2.3631541121000302e-04,1.3413614208739131e-02,2.3674372506129842e-05,1.4265549461343762e-03,1.1000300147506416e-03,5.7000000000000063e-04,3.6694475692745826e-12,1.6625160767228421e-06,1.8870080201306995e-04,1.6625160767228421e-06,1.8870080201306995e-04,1.4448928663150295e-08,1.6399988337800799e-06,1.4448928663150295e-08,1.6399988337800799e-06,3.3590636720599205e-02,-1.6233703764181313e+00,3.8790136391800567e-02,-2.1126750433228723e+00
1.8000000020057316e-02,       D11,     6,      DRIF,2.7139929091266665e-04,3.2386544882948883e-06,2.6540641742137559e-10,1.2462953364351302e-08,-5.4250026571866699e-09,2.0056813748695773e-22,-1.8096563377507815e-17,1.3413614208739131e-02,1.3628136481068579e-08,7.0185830021192737e-07,-1.6486225346223006e-07,9.0169198334062040e-21,-5.4994261558756376e-16,2.7603383685144623e-05,3.6631068039214463e-08,-8.8029142217452200e-11,-5.2359974427693181e-23,-2.9364499625860178e-19,1.4265549461343762e-03,-4.9722827472184246e-09,-1.9594095531478509e-21,-1.6586395029879996e-17,1.1000363849534803e-03,-2.4681518386687093e-12,4.0365492141437560e-15,5.7000000000000063e-04,-9.7470077373898982e-21,3.6694688188114069e-12,8.9537206532872330e-04,4.0662903423356794e-02,8.8331113798251602e-05,4.3000377557793944e-03,3.3935525712153643e-03,1.7045142921995899e-03,1.1320110258033556e-11,-8.9537206532872330e-04,-4.0662903423356794e-02,-8.6790971445315751e-05,-4.2891358624899930e-03,-3.3935525712153643e-03,-1.7045142921995899e-03,-1.1320110258033556e-11,8.8730759893432590e-04,4.0254904358731268e-02,8.8331113798251602e-05,4.3000377557793944e-03,3.3785399082650186e-03,1.6646023185919589e-03,1.1270030310087621e-11,2.7139929091266665e-04,1.3413614208739131e-02,2.7603383685144623e-05,1.4265549461343762e-03,1.1000363849534803e-03,5.7000000000000063e-04,3.6694688188114069e-12,1.6625160767228436e-06,1.8870080201307011e-04,1.6625160767228436e-06,1.8870080201307011e-04,1.4448928663150301e-08,1.6399988337800808e-06,1.4448928663150301e-08,1.6399988337800808e-06,4.4304879898119411e-02,-1.9480440121090037e+00,5.2733791454900925e-02,-2.5352099725314714e+00
2.1000000023400203e-02,       D11,     7,      DRIF,3.0774799345925440e-04,3.7784296273190224e-06,3.4999641176083950e-10,1.4568528267333314e-08,-5.9173055148732558e-09,2.2794980099593309e-22,-1.9738772648031407e-17,1.3413614208739131e-02,1.5733711384050592e-08,7.0185830021192737e-07,-1.6479088542234631e-07,9.0169198334062040e-21,-5.4970454812427998e-16,3.1623547089461426e-05,4.2736245089038795e-08,-1.0302034430065605e-10,-5.8224974483908536e-23,-3.4365220864498187e-19,1.4265549461343762e-03,-4.9751315616789693e-09,-1.9594095531478509e-21,-1.6595898015865984e-17,1.1000428775690219e-03,-2.8795104784745499e-12,4.0365968631882452e-15,5.7000000000000063e-04,-1.1371593927515175e-20,3.6694904766895441e-12,1.0061530503460126e-03,4.0662903423356794e-02,1.0053224385811184e-04,4.3000377557793944e-03,3.3936787233733723e-03,1.7045142921995899e-03,1.1320530663905152e-11,-9.9591309456929962e-04,-4.0662903423356794e-02,-9.9346369358144175e-05,-4.2891358624899930e-03,-3.3936787233733723e-03,-1.7045142921995899e-03,-1.1320530663905152e-11,1.0061530503460126e-03,4.0254904358731268e-02,1.0053224385811184e-04,4.3000377557793944e-03,3.3782706323552507e-03,1.6646023185919589e-03,1.1269131626678248e-11,3.0774799345925440e-04,1.3413614208739131e-02,3.1623547089461426e-05,1.4265549461343762e-03,1.1000428775690219e-03,5.7000000000000063e-04,3.6694904766895441e-12,1.6625160767228425e-06,1.8870080201306998e-04,1.6625160767228425e-06,1.8870080201306998e-04,1.4448928663150288e-08,1.6399988337800793e-06,1.4448928663150288e-08,1.6399988337800793e-06,5.6967164891955621e-02,-2.2727176477998792e+00,6.9212656096077935e-02,-2.9577449017400745e+00
2.4000000026743087e-02,       D11,     8,      DRIF,3.4496192642993219e-04,4.3182047663431561e-06,4.4721985553227290e-10,1.6674103170315331e-08,-6.4091801643200557e-09,2.5534800811715947e-22,-2.1379553513773737e-17,1.3413614208739131e-02,1.7839286287032609e-08,7.0185830021192737e-07,-1.6471951738246225e-07,9.0169198334062040e-21,-5.4946648066099787e-16,3.5704085655695253e-05,4.8841422138863120e-08,-1.1802863927064230e-10,-6.4055739602521859e-23,-3.9371643894734578e-19,1.4265549461343762e-03,-4.9779803761395198e-09,-1.9594095531478509e-21,-1.6605401001852264e-17,1.1000494925950993e-03,-3.2908691182964528e-12,4.0366454108885546e-15,5.7000000000000063e-04,-1.2996180117704665e-20,3.6695125429017645e-12,1.1249985017576993e-03,4.0662903423356794e-02,1.1273337391797207e-04,4.3000377557793944e-03,3.3938048755313768e-03,1.7045142921995899e-03,1.1320951069776736e-11,-1.0964541238098759e-03,-4.0662903423356794e-02,-1.1190176727097260e-04,-4.2891358624899930e-03,-3.3938048755313768e-03,-1.7045142921995899e-03,-1.1320951069776736e-11,1.1249985017576993e-03,4.0254904358731268e-02,1.1273337391797207e-04,4.3000377557793944e-03,3.3780013564454862e-03,1.6646023185919589e-03,1.1268232943268888e-11,3.4496192642993219e-04,1.3413614208739131e-02,3.5704085655695253e-05,1.4265549461343762e-03,1.1000494925950993e-03,5.7000000000000063e-04,3.6695125429017645e-12,1.6625160767228429e-06,1.8870080201307003e-04,1.6625160767228429e-06,1.8870080201307003e-04,1.4448928663150316e-08,1.6399988337800825e-06,1.4448928663150316e-08,1.6399988337800825e-06,7.1577491702107712e-02,-2.5973912834907531e+00,8.8226730315331320e-02,-3.3802798309486684e+00
2.7000000030085972e-02,       D11,     9,      DRIF,3.8278882524448940e-04,4.8579799053672898e-06,5.5707674873567584e-10,1.8779678073297344e-08,-6.9006266055270738e-09,2.8207123585854260e-22,-2.3018905974734634e-17,1.3413614208739131e-02,1.9944861190014623e-08,7.0185830021192737e-07,-1.6464814934257810e-07,9.0169198334062040e-21,-5.4922841319771053e-16,3.9826445947872713e-05,5.4946599188687445e-08,-1.3305402712741091e-10,-6.9955305468584277e-23,-4.4383768716568215e-19,1.4265549461343762e-03,-4.9808291906000736e-09,-1.9594095531478509e-21,-1.6614903987838178e-17,1.1000562300295040e-03,-3.7022277581189376e-12,4.0366948572446844e-15,5.7000000000000063e-04,-1.4620766307894315e-20,3.6695350174407010e-12,1.2438439531693860e-03,4.0662903423356794e-02,1.2493450397783231e-04,4.3000377557793944e-03,3.3939310276893814e-03,1.7045142921995899e-03,1.1321371475648345e-11,-1.1969951530504523e-03,-4.0662903423356794e-02,-1.2445716518380104e-04,-4.2891358624899930e-03,-3.3939310276893814e-03,-1.7045142921995899e-03,-1.1321371475648345e-11,1.2438439531693860e-03,4.0254904358731268e-02,1.2493450397783231e-04,4.3000377557793944e-03,3.3777320805357218e-03,1.6646023185919589e-03,1.1267334259859490e-11,3.8278882524448940e-04,1.3413614208739131e-02,3.9826445947872713e-05,1.4265549461343762e-03,1.1000562300295040e-03,5.7000000000000063e-04,3.6695350174407010e-12,1.6625160767228429e-06,1.8870080201307003e-04,1.6625160767228429e-06,1.8870080201307003e-04,1.4448928663150316e-08,1.6399988337800825e-06,1.4448928663150316e-08,1.6399988337800825e-06,8.8135860328575774e-02,-2.9220649191816270e+00,1.0977601411266139e-01,-3.8028147601572679e+00
