s,ElementName,ElementOccurence,ElementType,s1,s12,s13,s14,s15,s16,s17,s2,s23,s24,s25,s26,s27,s3,s34,s35,s36,s37,s4,s45,s46,s47,s5,s56,s57,s6,s67,s7,ma1,ma2,ma3,ma4,ma5,ma6,ma7,minimum1,minimum2,minimum3,minimum4,minimum5,minimum6,minimum7,maximum1,maximum2,maximum3,maximum4,maximum5,maximum6,maximum7,Sx,Sxp,Sy,Syp,Ss,Sdelta,St,ex,enx,ecx,ecnx,ey,eny,ecy,ecny,betaxBeam,alphaxBeam,betayBeam,alphayBeam
0.0000000000000000e+00,     _BEG_,     1,      MARK,1.8586894261904184e-03,5.1337466464886877e-07,1.1727629757581753e-08,8.0925607579137741e-09,-6.7134570239065627e-08,5.0472575744515625e-22,-2.2394551944653705e-16,9.3613007510635914e-04,3.9815348180248722e-09,4.1484665717122346e-09,-3.0016198981838736e-08,6.2463253555186304e-22,-1.0012714804508051e-16,3.4187345920210920e-04,8.1405324260456891e-08,9.5683048038038651e-11,-5.6019053362255185e-22,3.1917892645066723e-19,2.4183707532314674e-04,-2.0027554564757198e-10,-4.4042536883671414e-22,-6.6807175012440068e-19,1.9999999999999983e-03,2.0625252265642213e-22,1.3343081625286089e-14,5.7000000000000052e-04,9.2618778848731407e-25,6.6715408126430563e-12,5.6798070391389987e-03,3.0299205719106601e-03,1.0078919478934819e-03,7.8823316426207448e-04,6.1687193786678154e-03,1.7045142921995899e-03,2.0577432405097942e-11,-5.6798070391389987e-03,-2.8857729239128186e-03,-1.0078919478934819e-03,-7.3977885541739519e-04,-6.1687193786678154e-03,-1.7045142921995899e-03,-2.0577432405097942e-11,5.4943491912343139e-03,3.0299205719106601e-03,1.0038804601943936e-03,7.8823316426207448e-04,6.1457373885883421e-03,1.6646023185919589e-03,2.0500768019170471e-11,1.8586894261904184e-03,9.3613007510635914e-04,3.4187345920210920e-04,2.4183707532314674e-04,1.9999999999999983e-03,5.7000000000000052e-04,6.6715408126430563e-12,1.6625160767228362e-06,1.8870080201306927e-04,1.6625160767228362e-06,1.8870080201306927e-04,1.4448928663149115e-08,1.6399988337799461e-06,1.4448928663149115e-08,1.6399988337799461e-06,2.0780108122876313e+00,-3.0879380466553841e-01,8.0890054087472389e+00,-5.6340041644800234e+00
5.1229999999999999e-03,       D10,     1,      DRIF,1.8601100557466335e-03,5.1786415199711684e-07,1.1789594226257614e-08,8.1138133521606569e-09,-6.7288318060366968e-08,5.0917268041824131e-22,-2.2445838688515076e-16,9.3613007510635914e-04,4.0027874122717542e-09,4.1484665717122346e-09,-3.0016139239259104e-08,6.2463253555186304e-22,-1.0012694874983157e-16,3.4309339254792758e-04,8.1704943791494262e-08,9.4646615902236495e-11,-5.6192430418646300e-22,3.1572163087420142e-19,2.4183707532314674e-04,-2.0028469828239022e-10,-4.4042536883671414e-22,-6.6810228344013087e-19,2.0000000141077250e-03,3.3473763541101150e-15,1.3343081813519540e-14,5.7000000000000052e-04,-4.1886228868081104e-22,6.6715408596996868e-12,5.6843083510926982e-03,3.0299205719106601e-03,1.0113718216956074e-03,7.8823316426207448e-04,6.1687209480034396e-03,1.7045142921995899e-03,2.0577436942042287e-11,-5.6843083510926982e-03,-2.8857729239128186e-03,-1.0113718216956074e-03,-7.3977885541739519e-04,-6.1687209480034396e-03,-1.7045142921995899e-03,-2.0577436942042287e-11,5.5002228360464412e-03,3.0299205719106601e-03,1.0079185786949082e-03,7.8823316426207448e-04,6.1457350580140097e-03,1.6646023185919589e-03,2.0500759492175094e-11,1.8601100557466335e-03,9.3613007510635914e-04,3.4309339254792758e-04,2.4183707532314674e-04,2.0000000141077250e-03,5.7000000000000052e-04,6.6715408596996868e-12,1.6625160767228362e-06,1.8870080201306927e-04,1.6625160767228362e-06,1.8870080201306927e-04,1.4448928663149087e-08,1.6399988337799429e-06,1.4448928663149087e-08,1.6399988337799429e-06,2.0811885478485959e+00,-3.1149422206968036e-01,8.1468376482655600e+00,-5.6547406175432657e+00
1.0246000000000000e-02,       D10,     2,      DRIF,1.8615419563455429e-03,5.2235363934536469e-07,1.1851776449014128e-08,8.1350659464075381e-09,-6.7442065269545882e-08,5.1245493308885169e-22,-2.2497125228178530e-16,9.3613007510635914e-04,4.0240400065186354e-09,4.1484665717122346e-09,-3.0016079496679452e-08,6.2463253555186304e-22,-1.0012674945458248e-16,3.4431346156517248e-04,8.2004563322531632e-08,9.3610089988546535e-11,-5.6411864891544373e-22,3.1226402245341908e-19,2.4183707532314674e-04,-2.0029385091720376e-10,-4.4042536883671414e-22,-6.6813281675583823e-19,2.0000000282200973e-03,6.6947525052287844e-15,1.3343082001814967e-14,5.7000000000000052e-04,-8.3865076513922313e-22,6.6715409067718940e-12,5.6888096630463977e-03,3.0299205719106601e-03,1.0148516954977330e-03,7.8823316426207448e-04,6.1687225173390637e-03,1.7045142921995899e-03,2.0577441478986641e-11,-5.6888096630463977e-03,-2.8857729239128186e-03,-1.0148516954977330e-03,-7.3977885541739519e-04,-6.1687225173390637e-03,-1.7045142921995899e-03,-2.0577441478986641e-11,5.5060964808585685e-03,3.0299205719106601e-03,1.0119566971954228e-03,7.8823316426207448e-04,6.1457327274396754e-03,1.6646023185919589e-03,2.0500750965179710e-11,1.8615419563455429e-03,9.3613007510635914e-04,3.4431346156517248e-04,2.4183707532314674e-04,2.0000000282200973e-03,5.7000000000000052e-04,6.6715409067718940e-12,1.6625160767228359e-06,1.8870080201306924e-04,1.6625160767228359e-06,1.8870080201306924e-04,1.4448928663149087e-08,1.6399988337799429e-06,1.4448928663149087e-08,1.6399988337799429e-06,2.0843939518862831e+00,-3.1419463947382215e-01,8.2048823534819508e+00,-5.6754770706064974e+00
1.5369000000000001e-02,       D10,     3,      DRIF,1.8629851019981907e-03,5.2684312669361276e-07,1.1914176425851295e-08,8.1563185406544177e-09,-6.7595811866602328e-08,5.1461486710435020e-22,-2.2548411563644082e-16,9.3613007510635914e-04,4.0452926007655182e-09,4.1484665717122346e-09,-3.0016019754099786e-08,6.2463253555186304e-22,-1.0012655015933349e-16,3.4553366481668849e-04,8.2304182853569003e-08,9.2573470296959284e-11,-5.6638975600526930e-22,3.0880610118828330e-19,2.4183707532314674e-04,-2.0030300355201687e-10,-4.4042536883671414e-22,-6.6816335007154309e-19,2.0000000423371143e-03,1.0042128644891333e-14,1.3343082190172368e-14,5.7000000000000052e-04,-1.2584392416242987e-21,6.6715409538596787e-12,5.6933109750000972e-03,3.0299205719106601e-03,1.0183315692998585e-03,7.8823316426207448e-04,6.1687240866746852e-03,1.7045142921995899e-03,2.0577446015930989e-11,-5.6933109750000972e-03,-2.8857729239128186e-03,-1.0183315692998585e-03,-7.3977885541739519e-04,-6.1687240866746852e-03,-1.7045142921995899e-03,-2.0577446015930989e-11,5.5119701256706958e-03,3.0299205719106601e-03,1.0159948156959373e-03,7.8823316426207448e-04,6.1457303968653430e-03,1.6646023185919589e-03,2.0500742438184320e-11,1.8629851019981907e-03,9.3613007510635914e-04,3.4553366481668849e-04,2.4183707532314674e-04,2.0000000423371143e-03,5.7000000000000052e-04,6.6715409538596787e-12,1.6625160767228359e-06,1.8870080201306924e-04,1.6625160767228359e-06,1.8870080201306924e-04,1.4448928663149060e-08,1.6399988337799400e-06,1.4448928663149060e-08,1.6399988337799400e-06,2.0876270244006934e+00,-3.1689505687796404e-01,8.2631395243964416e+00,-5.6962135236697389e+00
2.0492000000000000e-02,       D10,     4,      DRIF,1.8644394665923044e-03,5.3133261404186073e-07,1.1976794156769115e-08,8.1775711349012989e-09,-6.7749557851536280e-08,5.2094643838507610e-22,-2.2599697694911721e-16,9.3613007510635914e-04,4.0665451950124002e-09,4.1484665717122346e-09,-3.0015960011520154e-08,6.2463253555186304e-22,-1.0012635086408449e-16,3.4675400088539257e-04,8.2603802384606374e-08,9.1536756827471628e-11,-5.6823205266554734e-22,3.0534786707878505e-19,2.4183707532314674e-04,-2.0031215618683240e-10,-4.4042536883671414e-22,-6.6819388338725537e-19,2.0000000564587769e-03,1.3389504781716321e-14,1.3343082378591740e-14,5.7000000000000052e-04,-1.6782277181825804e-21,6.6715410009630384e-12,5.6978122869537967e-03,3.0299205719106601e-03,1.0218114431019840e-03,7.8823316426207448e-04,6.1687256560103067e-03,1.7045142921995899e-03,2.0577450552875330e-11,-5.6978122869537967e-03,-2.8857729239128186e-03,-1.0218114431019840e-03,-7.3977885541739519e-04,-6.1687256560103067e-03,-1.7045142921995899e-03,-2.0577450552875330e-11,5.5178437704828231e-03,3.0299205719106601e-03,1.0200329341964519e-03,7.8823316426207448e-04,6.1457280662910105e-03,1.6646023185919589e-03,2.0500733911188956e-11,1.8644394665923044e-03,9.3613007510635914e-04,3.4675400088539257e-04,2.4183707532314674e-04,2.0000000564587769e-03,5.7000000000000052e-04,6.6715410009630384e-12,1.6625160767228359e-06,1.8870080201306924e-04,1.6625160767228359e-06,1.8870080201306924e-04,1.4448928663149141e-08,1.6399988337799491e-06,1.4448928663149141e-08,1.6399988337799491e-06,2.0908877653918263e+00,-3.1959547428210588e-01,8.3216091610089595e+00,-5.7169499767329386e+00
2.5614999999999999e-02,       D10,     5,      DRIF,1.8659050238943446e-03,5.3582210139010869e-07,1.2039629641767592e-08,8.1988237291481800e-09,-6.7903303224347764e-08,5.2302166910584910e-22,-2.2650983621981447e-16,9.3613007510635914e-04,4.0877977892592823e-09,4.1484665717122346e-09,-3.0015900268940535e-08,6.2463253555186304e-22,-1.0012615156883568e-16,3.4797446837392685e-04,8.2903421915643744e-08,9.0499949580089124e-11,-5.7016964053239164e-22,3.0188932012493396e-19,2.4183707532314674e-04,-2.0032130882164785e-10,-4.4042536883671414e-22,-6.6822441670296562e-19,2.0000000705850851e-03,1.6736880916190792e-14,1.3343082567073091e-14,5.7000000000000052e-04,-2.0980161946575586e-21,6.6715410480819756e-12,5.7023135989074962e-03,3.0299205719106601e-03,1.0252913169041095e-03,7.8823316426207448e-04,6.1687272253459248e-03,1.7045142921995899e-03,2.0577455089819658e-11,-5.7023135989074962e-03,-2.8857729239128186e-03,-1.0252913169041095e-03,-7.3977885541739519e-04,-6.1687272253459248e-03,-1.7045142921995899e-03,-2.0577455089819658e-11,5.5237174152949504e-03,3.0299205719106601e-03,1.0240710526969665e-03,7.8823316426207448e-04,6.1457257357166797e-03,1.6646023185919589e-03,2.0500725384193566e-11,1.8659050238943446e-03,9.3613007510635914e-04,3.4797446837392685e-04,2.4183707532314674e-04,2.0000000705850851e-03,5.7000000000000052e-04,6.6715410480819756e-12,1.6625160767228359e-06,1.8870080201306924e-04,1.6625160767228359e-06,1.8870080201306924e-04,1.4448928663149115e-08,1.6399988337799461e-06,1.4448928663149115e-08,1.6399988337799461e-06,2.0941761748596823e+00,-3.2229589168624773e-01,8.3802912633196218e+00,-5.7376864297961800e+00
3.0737999999999998e-02,       D10,     6,      DRIF,1.8673817475515506e-03,5.4031158873835665e-07,1.2102682880846718e-08,8.2200763233950612e-09,-6.8057047985036674e-08,5.2952264697602584e-22,-2.2702269344853251e-16,9.3613007510635914e-04,4.1090503835061651e-09,4.1484665717122346e-09,-3.0015840526360882e-08,6.2463253555186304e-22,-1.0012595227358658e-16,3.4919506590431971e-04,8.3203041446681128e-08,8.9463048554806227e-11,-5.7236663223933244e-22,2.9843046032667647e-19,2.4183707532314674e-04,-2.0033046145646563e-10,-4.4042536883671414e-22,-6.6825495001871228e-19,2.0000000847160389e-03,2.0084257047319485e-14,1.3343082755616426e-14,5.7000000000000052e-04,-2.5178046711644857e-21,6.6715410952164936e-12,5.7068149108611957e-03,3.0299205719106601e-03,1.0287711907062350e-03,7.8823316426207448e-04,6.1687287946815515e-03,1.7045142921995899e-03,2.0577459626764012e-11,-5.7068149108611957e-03,-2.8857729239128186e-03,-1.0287711907062350e-03,-7.3977885541739519e-04,-6.1687287946815515e-03,-1.7045142921995899e-03,-2.0577459626764012e-11,5.5295910601070777e-03,3.0299205719106601e-03,1.0281091711974810e-03,7.8823316426207448e-04,6.1457234051423455e-03,1.6646023185919589e-03,2.0500716857198202e-11,1.8673817475515506e-03,9.3613007510635914e-04,3.4919506590431971e-04,2.4183707532314674e-04,2.0000000847160389e-03,5.7000000000000052e-04,6.6715410952164936e-12,1.6625160767228362e-06,1.8870080201306927e-04,1.6625160767228362e-06,1.8870080201306927e-04,1.4448928663149032e-08,1.6399988337799368e-06,1.4448928663149032e-08,1.6399988337799368e-06,2.0974922528042610e+00,-3.2499630909038957e-01,8.4391858313284054e+00,-5.7584228828594455e+00
3.5860999999999997e-02,       D10,     7,      DRIF,1.8688696110939847e-03,5.4480107608660472e-07,1.2165953874006502e-08,8.2413289176419441e-09,-6.8210792133603090e-08,5.3231785570196501e-22,-2.2753554863527020e-16,9.3613007510635914e-04,4.1303029777530471e-09,4.1484665717122346e-09,-3.0015780783781177e-08,6.2463253555186304e-22,-1.0012575297833715e-16,3.5041579211765329e-04,8.3502660977718485e-08,8.8426053751641110e-11,-5.7424598659105296e-22,2.9497128768419373e-19,2.4183707532314674e-04,-2.0033961409127594e-10,-4.4042536883671414e-22,-6.6828548333437063e-19,2.0000000988516383e-03,2.3431633183191561e-14,1.3343082944221738e-14,5.7000000000000052e-04,-2.9375931476745681e-21,6.6715411423665866e-12,5.7113162228148951e-03,3.0299205719106601e-03,1.0322510645083605e-03,7.8823316426207448e-04,6.1687303640171783e-03,1.7045142921995899e-03,2.0577464163708379e-11,-5.7113162228148951e-03,-2.8857729239128186e-03,-1.0322510645083605e-03,-7.3977885541739519e-04,-6.1687303640171783e-03,-1.7045142921995899e-03,-2.0577464163708379e-11,5.5354647049192050e-03,3.0299205719106601e-03,1.0321472896979956e-03,7.8823316426207448e-04,6.1457210745680113e-03,1.6646023185919589e-03,2.0500708330202825e-11,1.8688696110939847e-03,9.3613007510635914e-04,3.5041579211765329e-04,2.4183707532314674e-04,2.0000000988516383e-03,5.7000000000000052e-04,6.6715411423665866e-12,1.6625160767228359e-06,1.8870080201306924e-04,1.6625160767228359e-06,1.8870080201306924e-04,1.4448928663149115e-08,1.6399988337799461e-06,1.4448928663149115e-08,1.6399988337799461e-06,2.1008359992255627e+00,-3.2769672649453152e-01,8.4982928650351770e+00,-5.7791593359226434e+00
4.0984000000000000e-02,       D10,     8,      DRIF,1.8703685879365730e-03,5.4929056343485257e-07,1.2229442621246935e-08,8.2625815118888236e-09,-6.8364535670047039e-08,5.3496483366213473e-22,-2.2804840178003048e-16,9.3613007510635914e-04,4.1515555719999300e-09,4.1484665717122346e-09,-3.0015721041201472e-08,6.2463253555186304e-22,-1.0012555368308797e-16,3.5163664567373746e-04,8.3802280508755869e-08,8.7388965170579918e-11,-5.7612269396481322e-22,2.9151180219724707e-19,2.4183707532314674e-04,-2.0034876672608418e-10,-4.4042536883671414e-22,-6.6831601665012883e-19,2.0000001129918824e-03,2.6779009304960539e-14,1.3343083132889014e-14,5.7000000000000052e-04,-3.3573816242486270e-21,6.6715411895322563e-12,5.7158175347685946e-03,3.0299205719106601e-03,1.0361854081985102e-03,7.8823316426207448e-04,6.1687319333528015e-03,1.7045142921995899e-03,2.0577468700652721e-11,-5.7158175347685946e-03,-2.8857729239128186e-03,-1.0357309383104861e-03,-7.3977885541739519e-04,-6.1687319333528015e-03,-1.7045142921995899e-03,-2.0577468700652721e-11,5.5413383497313323e-03,3.0299205719106601e-03,1.0361854081985102e-03,7.8823316426207448e-04,6.1457187439936806e-03,1.6646023185919589e-03,2.0500699803207448e-11,1.8703685879365730e-03,9.3613007510635914e-04,3.5163664567373746e-04,2.4183707532314674e-04,2.0000001129918824e-03,5.7000000000000052e-04,6.6715411895322563e-12,1.6625160767228359e-06,1.8870080201306924e-04,1.6625160767228359e-06,1.8870080201306924e-04,1.4448928663149032e-08,1.6399988337799368e-06,1.4448928663149032e-08,1.6399988337799368e-06,2.1042074141235871e+00,-3.3039714389867331e-01,8.5576123644401321e+00,-5.7998957889859089e+00
4.6107000000000002e-02,       D10,     9,      DRIF,1.8718786513811432e-03,5.5378005078310064e-07,1.2293149122568026e-08,8.2838341061357065e-09,-6.8518278594368506e-08,5.3900941598527400e-22,-2.2856125288281140e-16,9.3613007510635914e-04,4.1728081662468112e-09,4.1484665717122346e-09,-3.0015661298621773e-08,6.2463253555186304e-22,-1.0012535438783905e-16,3.5285762525079123e-04,8.4101900039793239e-08,8.6351782811623154e-11,-5.7808410463329900e-22,2.8805200386603528e-19,2.4183707532314674e-04,-2.0035791936089175e-10,-4.4042536883671414e-22,-6.6834654996578198e-19,2.0000001271367716e-03,3.0126385429376493e-14,1.3343083321618265e-14,5.7000000000000052e-04,-3.7771701008536096e-21,6.6715412367135011e-12,5.7203188467222941e-03,3.0299205719106601e-03,1.0402235266990247e-03,7.8823316426207448e-04,6.1687335026884213e-03,1.7045142921995899e-03,2.0577473237597088e-11,-5.7203188467222941e-03,-2.8857729239128186e-03,-1.0392108121126116e-03,-7.3977885541739519e-04,-6.1687335026884213e-03,-1.7045142921995899e-03,-2.0577473237597088e-11,5.5472119945434595e-03,3.0299205719106601e-03,1.0402235266990247e-03,7.8823316426207448e-04,6.1457164134193498e-03,1.6646023185919589e-03,2.0500691276212071e-11,1.8718786513811432e-03,9.3613007510635914e-04,3.5285762525079123e-04,2.4183707532314674e-04,2.0000001271367716e-03,5.7000000000000052e-04,6.6715412367135011e-12,1.6625160767228359e-06,1.8870080201306924e-04,1.6625160767228359e-06,1.8870080201306924e-04,1.4448928663149032e-08,1.6399988337799368e-06,1.4448928663149032e-08,1.6399988337799368e-06,2.1076064974983342e+00,-3.3309756130281520e-01,8.6171443295431249e+00,-5.8206322420491405e+00
