s,betax,alphax,psix,etax,etaxp,xAperture,betay,alphay,psiy,etay,etayp,yAperture,pCentral0,ElementName,ElementOccurence,ElementType,ChamberShape
0.0000000000000000e+00,2.0783000000000000e+00,-3.0879000000000001e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.0890000000000004e+00,-5.6340000000000003e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,     _BEG_,     1,      MARK,                
5.0629303909757719e-03,2.0814402743561242e+00,-3.1145837665582721e-01,2.4342562275061689e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.1461528557595866e+00,-5.6544932926310292e+00,6.2370365539361956e-04,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,     1,      DRIF,               ?
1.0125860781951544e-02,2.0846075683227787e+00,-3.1412675331165441e-01,4.8648268932224769e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.2035132237473185e+00,-5.6749865852620580e+00,1.2430388575833523e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,     2,      DRIF,               ?
1.5188791172927315e-02,2.0878018818999640e+00,-3.1679512996748160e-01,7.2916917083566957e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.2610811039631962e+00,-5.6954798778930869e+00,1.8580508715446142e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,     3,      DRIF,               ?
2.0251721563903088e-02,2.0910232150876800e+00,-3.1946350662330880e-01,9.7148306205442070e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.3188564964072196e+00,-5.7159731705241157e+00,2.4687843456012879e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,     4,      DRIF,               ?
2.5314651954878861e-02,2.0942715678859267e+00,-3.2213188327913600e-01,1.2134223813957894e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.3768394010793887e+00,-5.7364664631551445e+00,3.0752833217765722e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,     5,      DRIF,               ?
3.0377582345854633e-02,2.0975469402947042e+00,-3.2480025993496320e-01,1.4549851709386691e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.4350298179797036e+00,-5.7569597557861734e+00,3.6775912459384255e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,     6,      DRIF,               ?
3.5440512736830403e-02,2.1008493323140125e+00,-3.2746863659079040e-01,1.6961694964283076e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.4934277471081643e+00,-5.7774530484172022e+00,4.2757509777442875e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,     7,      DRIF,               ?
4.0503443127806175e-02,2.1041787439438515e+00,-3.3013701324661759e-01,1.9369734472779784e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.5520331884647707e+00,-5.7979463410482310e+00,4.8698048003896401e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,     8,      DRIF,               ?
4.5566373518781948e-02,2.1075351751842213e+00,-3.3280538990244479e-01,2.1773951365676007e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.6108461420495228e+00,-5.8184396336792599e+00,5.4597944301648521e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,     9,      DRIF,               ?
5.0629303909757721e-02,2.1109186260351218e+00,-3.3547376655827199e-01,2.4174327010393407e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.6698666078624207e+00,-5.8389329263102887e+00,6.0457610258246386e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,    10,      DRIF,               ?
5.5692234300733494e-02,2.1143290964965531e+00,-3.3814214321409919e-01,2.6570843010902206e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.7290945859034643e+00,-5.8594262189413175e+00,6.6277451977743585e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,    11,      DRIF,               ?
6.0755164691709267e-02,2.1177665865685151e+00,-3.4081051986992639e-01,2.8963481207617645e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.7885300761726537e+00,-5.8799195115723464e+00,7.2057870170772640e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,    12,      DRIF,               ?
6.5818095082685033e-02,2.1212310962510075e+00,-3.4347889652575359e-01,3.1352223677267151e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.8481730786699870e+00,-5.9004128042033752e+00,7.7799260242867128e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,    13,      DRIF,               ?
7.0881025473660805e-02,2.1247226255440306e+00,-3.4614727318158078e-01,3.3737052732728492e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.9080235933954661e+00,-5.9209060968344041e+00,8.3502012381072542e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,    14,      DRIF,               ?
7.5943955864636578e-02,2.1282411744475844e+00,-3.4881564983740798e-01,3.6117950922839245e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,8.9680816203490910e+00,-5.9413993894654329e+00,8.9166511638883936e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,    15,      DRIF,               ?
8.1006886255612351e-02,2.1317867429616690e+00,-3.5148402649323518e-01,3.8494901032177856e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.0283471595308615e+00,-5.9618926820964617e+00,9.4793138019547661e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,    16,      DRIF,               ?
8.6069816646588124e-02,2.1353593310862844e+00,-3.5415240314906238e-01,4.0867886080816700e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.0888202109407779e+00,-5.9823859747274906e+00,1.0038226655776325e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,    17,      DRIF,               ?
9.1132747037563896e-02,2.1389589388214305e+00,-3.5682077980488958e-01,4.3236889324047352e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.1495007745788399e+00,-6.0028792673585194e+00,1.0593426739982091e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,    18,      DRIF,               ?
9.6195677428539669e-02,2.1425855661671074e+00,-3.5948915646071677e-01,4.5601894252078515e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.2103888504450477e+00,-6.0233725599895482e+00,1.1144950588220898e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,    19,      DRIF,               ?
1.0125860781951544e-01,2.1462392131233150e+00,-3.6215753311654397e-01,4.7962884589706802e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.2714844385394013e+00,-6.0438658526205771e+00,1.1692834260872507e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,    20,      DRIF,               ?
1.0632153821049121e-01,2.1499198796900534e+00,-3.6482590977237117e-01,5.0319844295960835e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.3327875388619006e+00,-6.0643591452516059e+00,1.2237113352612348e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,    21,      DRIF,               ?
1.1138446860146699e-01,2.1536275658673225e+00,-3.6749428642819837e-01,5.2672757563718919e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.3942981514125456e+00,-6.0848524378826347e+00,1.2777822999833101e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,    22,      DRIF,               ?
1.1644739899244276e-01,2.1573622716551224e+00,-3.7016266308402557e-01,5.5021608819300669e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.4560162761913364e+00,-6.1053457305136636e+00,1.3314997887926224e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,    23,      DRIF,               ?
1.2151032938341853e-01,2.1611239970534530e+00,-3.7283103973985277e-01,5.7366382722032892e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.5179419131982712e+00,-6.1258390231446924e+00,1.3848672258426474e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,    24,      DRIF,               ?
1.2657325977439429e-01,2.1649127420623140e+00,-3.7549941639567996e-01,5.9707064163790138e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,9.5800750624333517e+00,-6.1463323157757213e+00,1.4378879916022382e-02,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,1.1350314421322028e+02,       D10,    25,      DRIF,               ?
